El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
Br   	 35	  79	3/2-         	             0.5069	    2.1064   	          5.78491e+31	            2.55716e+30	           6.55462e+31
Br   	 35	  81	3/2-         	             0.4931	    2.27056  	          5.78491e+31	            2.55716e+30	           6.55462e+31
Kr   	 36	  78	0+           	             0.0036	    0        	          0          	            0          	           3.12494e+27
Kr   	 36	  80	0+           	             0.0229	    0        	          0          	            0          	           3.12494e+27
Kr   	 36	  82	0+           	             0.1159	    0        	          0          	            0          	           3.12494e+27
Kr   	 36	  83	9/2+         	             0.115 	   -0.970669 	          0          	            0          	           3.12494e+27
Kr   	 36	  84	0+           	             0.5699	    0        	          0          	            0          	           3.12494e+27
Kr   	 36	  86	0+           	             0.1728	    0        	          0          	            0          	           3.12494e+27
Rb   	 37	  85	5/2-         	             0.7217	    1.35298  	          0          	            1.92849e+31	           1.22558e+33
Rb   	 37	  87	3/2-         	             0.2783	    2.75131  	          0          	            1.92849e+31	           1.22558e+33
Sr   	 38	  84	0+           	             0.0056	    0        	          0          	            6.84045e+32	           7.17288e+33
Sr   	 38	  86	0+           	             0.0986	    0        	          0          	            6.84045e+32	           7.17288e+33
Sr   	 38	  87	9/2+         	             0.07  	   -1.0928   	          0          	            6.84045e+32	           7.17288e+33
Sr   	 38	  88	0+           	             0.8258	    0        	          0          	            6.84045e+32	           7.17288e+33
Y    	 39	  89	1/2-         	             1     	   -0.137415 	          0          	            1.26556e+32	           5.69458e+32
Zr   	 40	  90	0+           	             0.5145	    0        	          0          	            3.07605e+32	           2.48788e+33
Zr   	 40	  91	5/2+         	             0.1122	   -1.30362  	          0          	            3.07605e+32	           2.48788e+33
Zr   	 40	  92	0+           	             0.1715	    0        	          0          	            3.07605e+32	           2.48788e+33
Zr   	 40	  94	0+           	             0.1738	    0        	          0          	            3.07605e+32	           2.48788e+33
Zr   	 40	  96	0+           	             0.028 	    0        	          0          	            3.07605e+32	           2.48788e+33
Nb   	 41	  93	9/2+         	             1     	    6.1705   	          0          	            1.74477e+31	           3.19448e+32
Mo   	 42	  92	0+           	             0.1453	    0        	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	  94	0+           	             0.0915	    0        	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	  95	5/2+         	             0.1584	   -0.9142   	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	  96	0+           	             0.1667	    0        	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	  97	5/2+         	             0.096 	   -0.9335   	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	  98	0+           	             0.2439	    0        	          3.44142e+32	            1.33464e+30	           2.00165e+31
Mo   	 42	 100	0+           	             0.0982	    0        	          3.44142e+32	            1.33464e+30	           2.00165e+31
Ru   	 44	  96	0+           	             0.0554	    0        	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	  98	0+           	             0.0187	    0        	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	  99	5/2+         	             0.1276	   -0.641    	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	 100	0+           	             0.126 	    0        	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	 101	5/2+         	             0.1706	   -0.719    	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	 102	0+           	             0.3155	    0        	          2.61339e+32	            1.99469e+29	           1.72732e+28
Ru   	 44	 104	0+           	             0.1862	    0        	          2.61339e+32	            1.99469e+29	           1.72732e+28
Rh   	 45	 103	1/2-         	             1     	   -0.884    	          4.74852e+31	            3.17692e+28	           1.18755e+28
Pd   	 46	 102	0+           	             0.0102	    0        	          1.92356e+32	            1.81761e+29	           1.0335e+29
Pd   	 46	 104	0+           	             0.1114	    0        	          1.92356e+32	            1.81761e+29	           1.0335e+29
Pd   	 46	 105	5/2+         	             0.2233	   -0.642    	          1.92356e+32	            1.81761e+29	           1.0335e+29
Pd   	 46	 106	0+           	             0.2733	    0        	          1.92356e+32	            1.81761e+29	           1.0335e+29
Pd   	 46	 108	0+           	             0.2646	    0        	          1.92356e+32	            1.81761e+29	           1.0335e+29
Pd   	 46	 110	0+           	             0.1172	    0        	          1.92356e+32	            1.81761e+29	           1.0335e+29
Ag   	 47	 107	1/2-         	             0.5184	   -0.11357  	          9.1826e+30 	            1.51539e+29	           1.27858e+30
